permno,date,ret,vol,shrout
10066,2023-04-14,-0.009783,288.0,11784.0
10066,2023-04-17,-0.034073,2572.0,11784.0
10066,2023-04-18,-0.040866,39328.0,11784.0
10066,2023-04-19,-0.004739,18341.0,11784.0
10066,2023-04-20,0.002405,3330.0,11784.0
10066,2023-04-21,-0.014275,11226.0,11784.0
10066,2023-04-24,-0.043374,9218.0,11784.0
10066,2023-04-25,-0.002519,2657.0,11784.0
10066,2023-04-26,0.007576,1919.0,11784.0
10066,2023-04-27,-0.012531,1579.0,11784.0
10066,2023-04-28,0.01269,871.0,11784.0
10066,2023-05-01,-0.090226,13682.0,11784.0
10066,2023-05-02,0.00551,7152.0,11784.0
10066,2023-05-03,0.010959,1861.0,11784.0
10066,2023-05-04,0.01084,5281.0,11784.0
10066,2023-05-05,0.010697,1402.0,11784.0
10066,2023-05-08,-0.031805,1563.0,11784.0
10066,2023-05-09,0.015068,10711.0,11784.0
10066,2023-05-10,-0.014845,3052.0,11784.0
10066,2023-05-11,0.016438,1871.0,11784.0
10066,2023-05-12,-0.021563,4886.0,11784.0
10066,2023-05-15,0.033058,4298.0,11784.0
10066,2023-05-16,0.024,2193.0,11784.0
10066,2023-05-17,-0.014323,4526.0,11784.0
10066,2023-05-18,-0.043593,1822.0,11784.0
10066,2023-05-19,0.035912,2342.0,11784.0
10066,2023-05-22,0.0,1524.0,11784.0
10066,2023-05-23,-0.013333,2660.0,11784.0
10066,2023-05-24,-0.024324,4942.0,11784.0
10066,2023-05-25,-0.01385,6276.0,11784.0
10066,2023-05-26,-0.002809,1220.0,11784.0
